Herb name in Pinyin,Herb Property,Herb Meridian Tropism,Herb Flavor
TAN XIANG,Warm,"Lung meridian,Spleen meridian,Stomach meridian,Heart meridian",Pungent
TAO REN,Even,"Large intestine meridian,Liver meridian,Heart meridian","Sweet,Bitter"
TAO ZHI,Even,"Liver meridian,Heart meridian",Bitter
TIAN DONG,Cold,"Lung meridian,Kidney meridian","Sweet,Bitter"
TIAN HUA FEN,Mildly cold,"Lung meridian,Stomach meridian","Sweet,Mildly bitter"
TIAN MA,Even,Liver meridian,Sweet
TIAN NAN XING,Warm,"Lung meridian,Liver meridian,Spleen meridian","Bitter,Pungent"
TIAN XIAN TENG,Warm,"Liver meridian,Spleen meridian,Kidney meridian",Bitter
TIAN XIAN ZI,Warm,"Liver meridian,Stomach meridian,Heart meridian","Bitter,Pungent"
TIAN ZHU HUANG,Cool,"Heart meridian, Liver meridian",Sweet
TING LI ZI,Great cold,"Bladder meridian,Lung meridian","Bitter,Pungent"
TU BEI MU,Mildly cold,"Lung meridian,Spleen meridian",Bitter
TU FU LING,Even,"Liver meridian,Stomach meridian","Bland,Sweet"
TU JING PI,Warm,"Lung meridian,Spleen meridian",Pungent
TU MU XIANG,Warm,"Liver meridian,Spleen meridian","Bitter,Pungent"
TU SI ZI,Even,"Liver meridian,Spleen meridian,Kidney meridian","Sweet,Pungent"
WANG BU LIU XING,Even,"Liver meridian,Stomach meridian",Bitter
WEI LING XIAN,Warm,Bladder meridian,"Salty,Pungent"
WEI LING CAI,Cold,"Large intestine meridian,Liver meridian",Bitter
WU MEI,Even,"Large intestine meridian,Lung meridian,Liver meridian,Spleen meridian","Astringent,Sour"
WU YAO,Warm,"Bladder meridian,Lung meridian,Spleen meridian,Kidney meridian",Pungent
WU ZHU YU,Hot,"Liver meridian,Spleen meridian,Kidney meridian,Stomach meridian","Bitter,Pungent"
WU JIA PI,Warm,"Liver meridian, Kidney meridian","Pungent,Bitter,Sweet"
WU WEI ZI,Warm,"Lung meridian,Kidney meridian,Heart meridian","Sweet,Sour"
XI YANG SHEN,Cool,"Lung meridian,Kidney meridian,Heart meridian","Sweet,Mildly bitter"
XI MING,Mildly cold,"Large intestine meridian,Liver meridian,Stomach meridian",Pungent
XI XIAN CAO,Cold,"Liver meridian,Kidney meridian","Bitter,Pungent"
